Date,Formula,"Apr 19, 12:00am - May 19, 3:19pm"
2021-04-19,Birds of a Feather ,7
2021-04-19,Bring Me Renturly,3
2021-04-19,Dogging Fistfuls ,6
2021-04-19,Flock Gold Chain,6
2021-04-19,Flock,2
2021-04-19,It Multiplies ,62
2021-04-19,Pay The Bird Dog Fistfuls of Cash,23
2021-04-19,Pay The Bird Dog,6
2021-04-19,The Urly Bird,9
2021-04-20,Birds of a Feather ,7
2021-04-20,Bring Me Renturly,3
2021-04-20,Dogging Fistfuls ,6
2021-04-20,Flock Gold Chain,6
2021-04-20,Flock,2
2021-04-20,It Multiplies ,62
2021-04-20,Pay The Bird Dog Fistfuls of Cash,23
2021-04-20,Pay The Bird Dog,6
2021-04-20,The Urly Bird,9
2021-04-21,Birds of a Feather ,8
2021-04-21,Bring Me Renturly,3
2021-04-21,Dogging Fistfuls ,6
2021-04-21,Flock Gold Chain,7
2021-04-21,Flock,2
2021-04-21,It Multiplies ,64
2021-04-21,Pay The Bird Dog Fistfuls of Cash,22
2021-04-21,Pay The Bird Dog,6
2021-04-21,The Urly Bird,10
2021-04-22,Birds of a Feather ,9
2021-04-22,Bring Me Renturly,3
2021-04-22,Dogging Fistfuls ,6
2021-04-22,Flock Gold Chain,7
2021-04-22,Flock,2
2021-04-22,It Multiplies ,66
2021-04-22,Pay The Bird Dog Fistfuls of Cash,22
2021-04-22,Pay The Bird Dog,6
2021-04-22,The Urly Bird,11
2021-04-23,Birds of a Feather ,9
2021-04-23,Bring Me Renturly,3
2021-04-23,Dogging Fistfuls ,6
2021-04-23,Flock Gold Chain,7
2021-04-23,Flock,2
2021-04-23,It Multiplies ,66
2021-04-23,Pay The Bird Dog Fistfuls of Cash,22
2021-04-23,Pay The Bird Dog,6
2021-04-23,The Urly Bird,11
2021-04-24,Birds of a Feather ,9
2021-04-24,Bring Me Renturly,3
2021-04-24,Dogging Fistfuls ,6
2021-04-24,Flock Gold Chain,7
2021-04-24,Flock,2
2021-04-24,It Multiplies ,66
2021-04-24,Pay The Bird Dog Fistfuls of Cash,22
2021-04-24,Pay The Bird Dog,6
2021-04-24,The Urly Bird,11
2021-04-25,Birds of a Feather ,9
2021-04-25,Bring Me Renturly,3
2021-04-25,Dogging Fistfuls ,6
2021-04-25,Flock Gold Chain,7
2021-04-25,Flock,2
2021-04-25,It Multiplies ,66
2021-04-25,Pay The Bird Dog Fistfuls of Cash,22
2021-04-25,Pay The Bird Dog,6
2021-04-25,The Urly Bird,11
2021-04-26,Birds of a Feather ,9
2021-04-26,Bring Me Renturly,3
2021-04-26,Dogging Fistfuls ,6
2021-04-26,Flock Gold Chain,7
2021-04-26,Flock,2
2021-04-26,It Multiplies ,66
2021-04-26,Pay The Bird Dog Fistfuls of Cash,22
2021-04-26,Pay The Bird Dog,6
2021-04-26,The Urly Bird,11
2021-04-27,Birds of a Feather ,9
2021-04-27,Bring Me Renturly,3
2021-04-27,Dogging Fistfuls ,6
2021-04-27,Flock Gold Chain,7
2021-04-27,Flock,2
2021-04-27,It Multiplies ,66
2021-04-27,Pay The Bird Dog Fistfuls of Cash,22
2021-04-27,Pay The Bird Dog,6
2021-04-27,The Urly Bird,11
2021-04-28,Birds of a Feather ,9
2021-04-28,Bring Me Renturly,3
2021-04-28,Dogging Fistfuls ,6
2021-04-28,Flock Gold Chain,7
2021-04-28,Flock,2
2021-04-28,It Multiplies ,64
2021-04-28,Pay The Bird Dog Fistfuls of Cash,20
2021-04-28,Pay The Bird Dog,6
2021-04-28,The Urly Bird,11
2021-04-29,Birds of a Feather ,9
2021-04-29,Bring Me Renturly,3
2021-04-29,Dogging Fistfuls ,6
2021-04-29,Flock Gold Chain,7
2021-04-29,Flock,2
2021-04-29,It Multiplies ,64
2021-04-29,Pay The Bird Dog Fistfuls of Cash,20
2021-04-29,Pay The Bird Dog,6
2021-04-29,The Urly Bird,11
2021-04-30,Birds of a Feather ,9
2021-04-30,Bring Me Renturly,3
2021-04-30,Dogging Fistfuls ,6
2021-04-30,Flock Gold Chain,7
2021-04-30,Flock,2
2021-04-30,It Multiplies ,63
2021-04-30,Pay The Bird Dog Fistfuls of Cash,19
2021-04-30,Pay The Bird Dog,6
2021-04-30,The Urly Bird,11
2021-05-01,Birds of a Feather ,9
2021-05-01,Bring Me Renturly,3
2021-05-01,Dogging Fistfuls ,6
2021-05-01,Flock Gold Chain,7
2021-05-01,Flock,2
2021-05-01,It Multiplies ,63
2021-05-01,Pay The Bird Dog Fistfuls of Cash,19
2021-05-01,Pay The Bird Dog,6
2021-05-01,The Urly Bird,11
2021-05-02,Birds of a Feather ,9
2021-05-02,Bring Me Renturly,3
2021-05-02,Dogging Fistfuls ,6
2021-05-02,Flock Gold Chain,7
2021-05-02,Flock,2
2021-05-02,It Multiplies ,62
2021-05-02,Pay The Bird Dog Fistfuls of Cash,18
2021-05-02,Pay The Bird Dog,6
2021-05-02,The Urly Bird,11
2021-05-03,Birds of a Feather ,9
2021-05-03,Bring Me Renturly,3
2021-05-03,Dogging Fistfuls ,6
2021-05-03,Flock Gold Chain,7
2021-05-03,Flock,2
2021-05-03,It Multiplies ,62
2021-05-03,Pay The Bird Dog Fistfuls of Cash,18
2021-05-03,Pay The Bird Dog,6
2021-05-03,The Urly Bird,11
2021-05-04,Birds of a Feather ,9
2021-05-04,Bring Me Renturly,3
2021-05-04,Dogging Fistfuls ,6
2021-05-04,Flock Gold Chain,7
2021-05-04,Flock,2
2021-05-04,It Multiplies ,63
2021-05-04,Pay The Bird Dog Fistfuls of Cash,19
2021-05-04,Pay The Bird Dog,6
2021-05-04,The Urly Bird,11
2021-05-05,Birds of a Feather ,9
2021-05-05,Bring Me Renturly,3
2021-05-05,Dogging Fistfuls ,6
2021-05-05,Flock Gold Chain,7
2021-05-05,Flock,2
2021-05-05,It Multiplies ,63
2021-05-05,Pay The Bird Dog Fistfuls of Cash,19
2021-05-05,Pay The Bird Dog,6
2021-05-05,The Urly Bird,11
2021-05-06,Birds of a Feather ,9
2021-05-06,Bring Me Renturly,3
2021-05-06,Dogging Fistfuls ,6
2021-05-06,Flock Gold Chain,7
2021-05-06,Flock,2
2021-05-06,It Multiplies ,63
2021-05-06,Pay The Bird Dog Fistfuls of Cash,19
2021-05-06,Pay The Bird Dog,6
2021-05-06,The Urly Bird,11
2021-05-07,Birds of a Feather ,9
2021-05-07,Bring Me Renturly,3
2021-05-07,Dogging Fistfuls ,6
2021-05-07,Flock Gold Chain,7
2021-05-07,Flock,2
2021-05-07,It Multiplies ,63
2021-05-07,Pay The Bird Dog Fistfuls of Cash,19
2021-05-07,Pay The Bird Dog,6
2021-05-07,The Urly Bird,11
2021-05-08,Birds of a Feather ,9
2021-05-08,Bring Me Renturly,3
2021-05-08,Dogging Fistfuls ,6
2021-05-08,Flock Gold Chain,7
2021-05-08,Flock,2
2021-05-08,It Multiplies ,63
2021-05-08,Pay The Bird Dog Fistfuls of Cash,19
2021-05-08,Pay The Bird Dog,6
2021-05-08,The Urly Bird,11
2021-05-09,Birds of a Feather ,9
2021-05-09,Bring Me Renturly,3
2021-05-09,Dogging Fistfuls ,6
2021-05-09,Flock Gold Chain,7
2021-05-09,Flock,2
2021-05-09,It Multiplies ,62
2021-05-09,Pay The Bird Dog Fistfuls of Cash,18
2021-05-09,Pay The Bird Dog,6
2021-05-09,The Urly Bird,11
2021-05-10,Birds of a Feather ,9
2021-05-10,Bring Me Renturly,3
2021-05-10,Dogging Fistfuls ,6
2021-05-10,Flock Gold Chain,7
2021-05-10,Flock,2
2021-05-10,It Multiplies ,63
2021-05-10,Pay The Bird Dog Fistfuls of Cash,19
2021-05-10,Pay The Bird Dog,6
2021-05-10,The Urly Bird,11
2021-05-11,Birds of a Feather ,9
2021-05-11,Bring Me Renturly,3
2021-05-11,Dogging Fistfuls ,6
2021-05-11,Flock Gold Chain,7
2021-05-11,Flock,2
2021-05-11,It Multiplies ,62
2021-05-11,Pay The Bird Dog Fistfuls of Cash,18
2021-05-11,Pay The Bird Dog,6
2021-05-11,The Urly Bird,11
2021-05-12,Birds of a Feather ,10
2021-05-12,Bring Me Renturly,3
2021-05-12,Dogging Fistfuls ,6
2021-05-12,Flock Gold Chain,7
2021-05-12,Flock,2
2021-05-12,It Multiplies ,65
2021-05-12,Pay The Bird Dog Fistfuls of Cash,19
2021-05-12,Pay The Bird Dog,6
2021-05-12,The Urly Bird,12
2021-05-13,Birds of a Feather ,10
2021-05-13,Bring Me Renturly,3
2021-05-13,Dogging Fistfuls ,6
2021-05-13,Flock Gold Chain,7
2021-05-13,Flock,2
2021-05-13,It Multiplies ,64
2021-05-13,Pay The Bird Dog Fistfuls of Cash,18
2021-05-13,Pay The Bird Dog,6
2021-05-13,The Urly Bird,12
2021-05-14,Birds of a Feather ,10
2021-05-14,Bring Me Renturly,3
2021-05-14,Dogging Fistfuls ,6
2021-05-14,Flock Gold Chain,7
2021-05-14,Flock,2
2021-05-14,It Multiplies ,63
2021-05-14,Pay The Bird Dog Fistfuls of Cash,17
2021-05-14,Pay The Bird Dog,6
2021-05-14,The Urly Bird,12
2021-05-15,Birds of a Feather ,11
2021-05-15,Bring Me Renturly,3
2021-05-15,Dogging Fistfuls ,6
2021-05-15,Flock Gold Chain,7
2021-05-15,Flock,2
2021-05-15,It Multiplies ,65
2021-05-15,Pay The Bird Dog Fistfuls of Cash,17
2021-05-15,Pay The Bird Dog,6
2021-05-15,The Urly Bird,13
2021-05-16,Birds of a Feather ,11
2021-05-16,Bring Me Renturly,2
2021-05-16,Dogging Fistfuls ,6
2021-05-16,Flock Gold Chain,7
2021-05-16,Flock,2
2021-05-16,It Multiplies ,63
2021-05-16,Pay The Bird Dog Fistfuls of Cash,16
2021-05-16,Pay The Bird Dog,6
2021-05-16,The Urly Bird,13
2021-05-17,Birds of a Feather ,11
2021-05-17,Bring Me Renturly,2
2021-05-17,Dogging Fistfuls ,6
2021-05-17,Flock Gold Chain,7
2021-05-17,Flock,2
2021-05-17,It Multiplies ,63
2021-05-17,Pay The Bird Dog Fistfuls of Cash,16
2021-05-17,Pay The Bird Dog,6
2021-05-17,The Urly Bird,13
2021-05-18,Birds of a Feather ,11
2021-05-18,Bring Me Renturly,2
2021-05-18,Dogging Fistfuls ,6
2021-05-18,Flock Gold Chain,7
2021-05-18,Flock,2
2021-05-18,It Multiplies ,62
2021-05-18,Pay The Bird Dog Fistfuls of Cash,15
2021-05-18,Pay The Bird Dog,6
2021-05-18,The Urly Bird,13
2021-05-19,Birds of a Feather ,11
2021-05-19,Bring Me Renturly,2
2021-05-19,Dogging Fistfuls ,6
2021-05-19,Flock Gold Chain,7
2021-05-19,Flock,2
2021-05-19,It Multiplies ,62
2021-05-19,Pay The Bird Dog Fistfuls of Cash,15
2021-05-19,Pay The Bird Dog,6
2021-05-19,The Urly Bird,13
