Date,Mixed,"Jul 29 2021, 12:00AM - Aug 5 2021, 11:09PM"
2021-07-29,A. Dogging - Total,12
2021-07-29,B. Fistfuls of Cash*,2
2021-07-29,C. Dogging Fistfuls,5
2021-07-29,D. Bird Dog*,3
2021-07-29,E. Bird Dogging Urly Birds,5
2021-07-30,A. Dogging - Total,3
2021-07-30,B. Fistfuls of Cash*,2
2021-07-30,C. Dogging Fistfuls,5
2021-07-30,D. Bird Dog*,3
2021-07-30,E. Bird Dogging Urly Birds,5
2021-07-31,A. Dogging - Total,7
2021-07-31,B. Fistfuls of Cash*,2
2021-07-31,C. Dogging Fistfuls,5
2021-07-31,D. Bird Dog*,3
2021-07-31,E. Bird Dogging Urly Birds,5
2021-08-01,A. Dogging - Total,1
2021-08-01,B. Fistfuls of Cash*,2
2021-08-01,C. Dogging Fistfuls,5
2021-08-01,D. Bird Dog*,3
2021-08-01,E. Bird Dogging Urly Birds,5
2021-08-02,A. Dogging - Total,37
2021-08-02,B. Fistfuls of Cash*,2
2021-08-02,C. Dogging Fistfuls,5
2021-08-02,D. Bird Dog*,3
2021-08-02,E. Bird Dogging Urly Birds,5
2021-08-03,A. Dogging - Total,87
2021-08-03,B. Fistfuls of Cash*,2
2021-08-03,C. Dogging Fistfuls,5
2021-08-03,D. Bird Dog*,3
2021-08-03,E. Bird Dogging Urly Birds,5
2021-08-04,A. Dogging - Total,25
2021-08-04,B. Fistfuls of Cash*,2
2021-08-04,C. Dogging Fistfuls,5
2021-08-04,D. Bird Dog*,3
2021-08-04,E. Bird Dogging Urly Birds,5
2021-08-05,A. Dogging - Total,17
2021-08-05,B. Fistfuls of Cash*,2
2021-08-05,C. Dogging Fistfuls,5
2021-08-05,D. Bird Dog*,3
2021-08-05,E. Bird Dogging Urly Birds,5
